Cont. No,ID,Packed,Total,Length,Width,Height,Weight,Code,Desc,Qt/b,Dest
1,1,4,4,740,810,600,85.00,TH008MR404A2-T,,1,1
1,2,4,4,740,810,600,82.00,TH010LR404A2-T,,1,1
1,3,14,14,1090,810,600,108.00,TH015LR404A3,,1,1
1,4,8,8,1090,810,600,112.00,TH020LR404A2,,1,1
1,5,10,10,1090,810,600,112.00,TH020LR404A3,,1,1
1,6,6,6,1090,810,600,114.00,TH025LR404A2,,1,1
1,7,4,4,1090,810,600,114.00,TH025LR404A3,,1,1
1,8,2,2,1090,860,823,147.00,TH040LR404A3,,1,1
1,9,1,1,1090,860,823,162.00,TH050LR404A3,,1,1
2,9,1,1,1090,860,823,162.00,TH050LR404A3,,1,1
1,10,4,4,740,810,600,82.00,TH015XR404A2,,1,1
1,11,6,6,1090,810,600,112.00,TH020XR404A2,,1,1
1,12,2,2,1090,810,600,112.00,TH020XR404A3,,1,1
1,13,6,6,1090,810,600,114.00,TH025XR404A2,,1,1
1,14,6,6,1090,810,600,114.00,TH025XR404A3,,1,1
1,15,6,6,1090,810,711,113.00,TH030XR404A2,,1,1
1,16,2,2,1090,810,711,113.00,TH030XR404A3,,1,1
2,16,2,2,1090,810,711,113.00,TH030XR404A3,,1,1
1,17,10,10,1090,810,600,99.00,TS015MR404A2-T,,1,1
2,18,6,6,1090,810,600,112.00,TS020MR404A2-T,,1,1
1,19,2,2,1090,810,711,113.00,TS020XR404A2,,1,1
1,20,4,4,1090,810,711,113.00,TS020XR404A3,,1,1
1,21,4,4,1090,810,711,114.00,TS025MR404A2-T,,1,1
1,22,4,4,1090,810,711,114.00,TS025MR404A3-T,,1,1
1,23,2,2,1090,810,711,118.00,TS035XR404A3,,1,1
1,24,2,2,1090,860,823,176.00,TS055XR404A3,,1,1
2,25,2,2,1090,860,823,162.00,TS050MR404A3-T,,1,1
1,26,1,1,1190,860,886,170.00,TS060MR404A3-T,,1,1
2,26,9,9,1190,860,886,170.00,TS060MR404A3-T,,1,1
2,27,4,4,1090,1290,1120,497.00,TS075XR404A3,,1,1
2,28,1,1,820,500,480,16.00,ADR068AX,,1,1
3,28,7,7,820,500,480,16.00,ADR068AX,,1,1
2,29,8,8,1227,500,480,21.00,ADR073AX,,1,1
2,30,8,8,1227,500,480,22.00,ADR073AEX,,1,1
2,31,8,8,1227,500,480,24.00,ADR109AX,,1,1
2,32,16,16,1227,500,480,25.00,ADR109AEX,,1,1
2,33,24,24,1227,500,480,25.00,ADR136AX,,1,1
2,34,2,2,1227,500,480,26.00,ADR136AEX,,1,1
3,34,22,22,1227,500,480,26.00,ADR136AEX,,1,1
3,35,12,12,1632,500,480,32.00,ADR163AX,,1,1
2,36,8,8,2039,500,480,40.00,ADR218AX,,1,1
1,37,5,5,2039,500,480,42.00,ADR218AEX,,1,1
2,37,3,3,2039,500,480,42.00,ADR218AEX,,1,1
2,38,4,4,2447,500,480,48.00,ADR273AX,,1,1
2,39,4,4,2447,500,480,50.00,ADR273AEX,,1,1
2,40,5,5,1227,500,480,23.00,LED068BX,,1,1
3,40,3,3,1227,500,480,23.00,LED068BX,,1,1
3,41,4,4,1227,500,480,25.00,LED094BX,,1,1
3,42,4,4,1227,500,480,26.00,LED094BEX,,1,1
3,43,8,8,1632,500,480,32.00,LED126BX,,1,1
3,44,6,6,1632,500,480,24.00,LED126BEX,,1,1
8,44,2,2,1632,500,480,24.00,LED126BEX,,1,1
3,45,4,4,1632,500,480,35.00,LED147BX,,1,1
2,46,8,8,2039,500,480,42.00,LED189BEX,,1,1
2,47,2,2,2447,500,480,48.00,LED210BX,,1,1
3,47,2,2,2447,500,480,48.00,LED210BX,,1,1
3,48,6,6,1070,730,780,49.00,ADM131A,,1,1
2,49,6,6,1780,730,780,88.00,ADM321A,,1,1
3,50,4,4,2490,730,780,124.00,ADM480A,,1,1
3,51,8,8,1632,500,480,33.00,ADR196AX,,1,1
3,52,3,3,1227,500,480,24.00,LED082BX,,1,1
8,52,1,1,1227,500,480,24.00,LED082BX,,1,1
8,53,4,4,2039,500,480,37.00,LED168BX,,1,1
8,54,1,1,2039,500,480,39.00,LED168BEX,,1,1
4,55,2,2,2100,890,495,47.00,TCA106AX,,1,1
3,56,2,2,2100,890,590,57.00,TCA140AX,,1,1
3,57,2,2,2100,890,590,65.00,TCA178AEX,,1,1
4,57,4,4,2100,890,590,65.00,TCA178AEX,,1,1
4,58,2,2,2100,890,430,40.00,TCE087BX,,1,1
3,59,4,4,1380,825,720,111.00,STI050MR404A1,,1,1
4,59,2,2,1380,825,720,111.00,STI050MR404A1,,1,1
4,60,1,1,1380,1167,750,169.00,STI055LR404A2,,1,1
4,61,2,2,1380,825,720,130.00,STI068MR404A2,,1,1
4,62,2,2,1380,1167,750,172.00,STI070LR404A2,,1,1
3,63,2,2,1380,1167,750,171.00,STI070LR404A3,,1,1
4,64,6,6,1380,825,720,130.00,STI075MR404A2,,1,1
3,65,10,10,1380,1167,750,168.00,STI100MR404A2,,1,1
4,66,2,2,1430,960,834,148.00,STX050MR404A2,,1,1
4,67,2,2,1430,1300,860,211.00,STX055LR404A3,,1,1
4,68,6,6,1430,960,834,162.00,STX075MR404A2,,1,1
4,69,2,2,1430,1300,860,212.00,STX100MR404A2,,1,1
4,70,2,2,1430,1300,860,216.00,STX130MR404A2,,1,1
4,71,2,2,1430,1300,860,215.00,STX130MR404A3,,1,1
5,72,20,20,740,810,600,85.00,TH008MR404A2-T,,1,2
5,73,4,4,740,810,600,82.00,TH010LR404A2-T,,1,2
5,74,22,22,740,810,600,83.00,TH010MR404A2-T,,1,2
5,75,22,22,1090,810,600,108.00,TH015LR404A2,,1,2
5,76,8,8,1090,810,600,108.00,TH015LR404A3,,1,2
5,77,12,12,1090,810,600,112.00,TH020LR404A2,,1,2
5,78,4,4,1090,810,600,112.00,TH020LR404A3,,1,2
5,79,6,6,1090,810,600,114.00,TH025LR404A2,,1,2
5,80,4,4,1090,810,600,114.00,TH025LR404A3,,1,2
6,81,2,2,1090,860,823,145.00,TH032LR404A3,,1,2
6,82,10,10,1090,860,823,147.00,TH040LR404A3,,1,2
6,83,3,3,1090,860,823,162.00,TH050LR404A3,,1,2
5,84,4,4,740,810,600,82.00,TH015XR404A2,,1,2
5,85,2,2,1090,810,600,112.00,TH020XR404A2,,1,2
6,85,8,8,1090,810,600,112.00,TH020XR404A2,,1,2
6,86,2,2,1090,810,600,112.00,TH020XR404A3,,1,2
6,87,4,4,1090,810,600,114.00,TH025XR404A2,,1,2
5,88,10,10,1090,810,711,113.00,TH030XR404A2,,1,2
6,89,12,12,1090,810,600,99.00,TS015MR404A2-T,,1,2
6,90,8,8,1090,810,600,112.00,TS020MR404A2-T,,1,2
5,91,2,2,1090,810,711,113.00,TS020XR404A2,,1,2
5,92,2,2,1090,810,711,113.00,TS020XR404A3,,1,2
5,93,6,6,1090,810,711,114.00,TS025MR404A2-T,,1,2
6,93,2,2,1090,810,711,114.00,TS025MR404A2-T,,1,2
6,94,4,4,1090,810,711,114.00,TS025MR404A3-T,,1,2
6,95,3,3,1090,810,711,118.00,TS035XR404A3,,1,2
6,96,8,8,1090,860,823,176.00,TS055XR404A3,,1,2
6,97,6,6,1090,860,823,162.00,TS050MR404A2-T,,1,2
6,98,8,8,1090,860,823,162.00,TS050MR404A3-T,,1,2
6,99,15,15,1227,500,480,24.00,ADR109AX,,1,2
7,99,9,9,1227,500,480,24.00,ADR109AX,,1,2
7,100,24,24,1227,500,480,25.00,ADR109AEX,,1,2
7,101,16,16,1227,500,480,25.00,ADR136AX,,1,2
7,102,16,16,1227,500,480,26.00,ADR136AEX,,1,2
7,103,8,8,2039,500,480,40.00,ADR218AX,,1,2
5,104,1,1,2039,500,480,42.00,ADR218AEX,,1,2
7,104,7,7,2039,500,480,42.00,ADR218AEX,,1,2
6,105,4,4,2447,500,480,48.00,ADR273AX,,1,2
6,106,2,2,2447,500,480,50.00,ADR273AEX,,1,2
7,106,2,2,2447,500,480,50.00,ADR273AEX,,1,2
7,107,8,8,1227,500,480,23.00,LED068BX,,1,2
7,108,4,4,1227,500,480,25.00,LED094BX,,1,2
7,109,8,8,1227,500,480,26.00,LED094BEX,,1,2
7,110,4,4,1632,500,480,32.00,LED126BX,,1,2
7,111,4,4,1632,500,480,24.00,LED126BEX,,1,2
5,112,4,4,2039,500,480,42.00,LED189BEX,,1,2
6,113,4,4,2447,500,480,48.00,LED210BX,,1,2
7,114,2,2,1632,500,480,33.00,ADR196AX,,1,2
8,114,2,2,1632,500,480,33.00,ADR196AX,,1,2
6,115,5,5,1227,500,480,24.00,LED082BX,,1,2
7,115,11,11,1227,500,480,24.00,LED082BX,,1,2
7,116,5,5,2039,500,480,37.00,LED168BX,,1,2
8,116,1,1,2039,500,480,37.00,LED168BX,,1,2
7,117,2,2,2100,890,495,47.00,TCA106AX,,1,2
7,118,2,2,2100,890,430,40.00,TCE087BX,,1,2
8,119,2,2,1380,825,720,130.00,STI045LR404A2,,1,2
8,120,2,2,1380,825,720,130.00,STI068MR404A2,,1,2
8,121,4,4,1380,1167,750,172.00,STI070LR404A2,,1,2
8,122,2,2,1380,1167,750,171.00,STI070LR404A3,,1,2
8,123,4,4,1380,825,720,130.00,STI075MR404A2,,1,2
7,124,6,6,1380,1167,750,168.00,STI100MR404A2,,1,2
8,124,4,4,1380,1167,750,168.00,STI100MR404A2,,1,2
7,125,2,2,1430,960,834,148.00,STX050MR404A2,,1,2
8,126,2,2,1430,1300,860,211.00,STX055LR404A3,,1,2
7,127,4,4,1430,960,834,162.00,STX075MR404A2,,1,2
8,127,2,2,1430,960,834,162.00,STX075MR404A2,,1,2
8,128,2,2,1430,1300,860,212.00,STX100MR404A2,,1,2
8,129,2,2,1430,1300,860,216.00,STX130MR404A2,,1,2
9,130,6,6,740,810,600,85.00,TH008MR404A2-T,,1,0
9,131,8,8,740,810,600,83.00,TH010MR404A2-T,,1,0
9,132,8,8,1090,810,600,108.00,TH015LR404A2,,1,0
9,133,6,6,1090,810,600,112.00,TH020LR404A2,,1,0
9,134,4,4,1090,860,823,145.00,TH032LR404A3,,1,0
8,135,2,2,1090,860,823,147.00,TH040LR404A3,,1,0
9,135,2,2,1090,860,823,147.00,TH040LR404A3,,1,0
9,136,4,4,1090,810,600,99.00,TS015MR404A2-T,,1,0
9,137,4,4,1090,810,600,112.00,TS020MR404A2-T,,1,0
9,138,4,4,1090,810,711,114.00,TS025MR404A2-T,,1,0
9,139,16,16,1227,500,480,21.00,ADR073AX,,1,0
9,140,8,8,1227,500,480,22.00,ADR073AEX,,1,0
9,141,16,16,1227,500,480,24.00,ADR109AX,,1,0
9,142,16,16,1227,500,480,25.00,ADR109AEX,,1,0
9,143,8,8,1227,500,480,25.00,ADR136AX,,1,0
9,144,8,8,1227,500,480,26.00,ADR136AEX,,1,0
9,145,4,4,2039,500,480,40.00,ADR218AX,,1,0
9,146,4,4,2039,500,480,42.00,ADR218AEX,,1,0
9,147,8,8,1227,500,480,23.00,LED068BX,,1,0
8,148,8,8,1227,500,480,26.00,LED094BEX,,1,0
9,149,4,4,1632,500,480,32.00,LED126BX,,1,0
8,150,2,2,1632,500,480,24.00,LED126BEX,,1,0
9,150,2,2,1632,500,480,24.00,LED126BEX,,1,0
8,151,2,2,2039,500,480,42.00,LED189BEX,,1,0
9,151,2,2,2039,500,480,42.00,LED189BEX,,1,0
9,152,4,4,1632,500,480,33.00,ADR196AX,,1,0
8,153,4,4,1227,500,480,24.00,LED082BX,,1,0
9,154,2,2,1380,825,720,130.00,STI045LR404A2,,1,0
9,155,1,1,1380,825,720,130.00,STI068MR404A2,,1,0
8,156,1,1,1380,825,720,130.00,STI075MR404A2,,1,0
9,156,2,2,1380,825,720,130.00,STI075MR404A2,,1,0
8,157,2,2,1380,1167,750,168.00,STI100MR404A2,,1,0
8,158,1,1,1430,1300,860,211.00,STX055LR404A3,,1,0
8,159,1,1,1430,960,834,162.00,STX075MR404A2,,1,0
9,159,1,1,1430,960,834,162.00,STX075MR404A2,,1,0